,,queries,,,,,
Dataset,Tool,q1,q2,q3,q4,q5
GTFS-1,Morph-Skyline,5.4003824,5.3515432,5.4754976,5.2575094,5.6549065
,TPF,Empty,Empty,Empty,Empty,Empty
,brTPF,Empty,Empty,Empty,Empty,Empty
,skyTPF,Error,Error,Error,Empty,Empty
GTFS-5,Morph-Skyline,5.715366,5.707127,5.390827,5.467751,5.189994
,TPF,Error,Error,Error,Error,Error
,brTPF,Error,Error,Error,Error,Error
,skyTPF,Error,Error,Error,Error,Error
GTFS-10,Morph-Skyline,5.708810,5.284734,5.448120,5.186524,5.237926
,TPF,Error,Error,Error,Error,Error
,brTPF,Error,Error,Error,Error,Error
,skyTPF,Error,Error,Error,Error,Error
GTFS-50,Morph-Skyline,5.388428,5.287605,5.149739,5.128175,5.198000
,TPF,Error,Error,Error,Error,Error
,brTPF,Error,Error,Error,Error,Error
,skyTPF,Error,Error,Error,Error,Error
GTFS-100,Morph-Skyline,5.174325,5.501938,5.626769,5.092295,5.270468
,TPF,Error,Error,Error,Error,Error
,brTPF,Error,Error,Error,Error,Error
,skyTPF,Error,Error,Error,Error,Error
GTFS-500,Morph-Skyline,5.480694,5.477958,6.466018,5.608598,5.678821
,TPF,Error,Error,Error,Error,Error
,brTPF,Error,Error,Error,Error,Error
,skyTPF,Error,Error,Error,Error,Error
GTFS-1000,Morph-Skyline,5.800851,5.613853,5.682006,5.677715,5.901545
,TPF,Error,Error,Error,Error,Error
,brTPF,Error,Error,Error,Error,Error
,skyTPF,Error,Error,Error,Error,Error